Country,geonum,gender,age_collapsed,count,pweight,state
US,27,Female,55-64,383070,0.0015092476909489387,MN
US,27,Female,65+,485580,0.0019131242169080995,MN
US,27,Male,18-24,254394,0.0010022804111292044,MN
US,27,Male,25-34,387246,0.0015257006064928413,MN
US,27,Male,35-44,361715,0.001425111672883795,MN
US,27,Male,45-54,347261,0.0013681647281348563,MN
US,27,Male,55-64,373337,0.001470900893298363,MN
US,27,Male,65+,403054,0.0015879821411954305,MN
US,28,Female,18-24,147293,5.803159217452216e-4,MO
US,28,Female,25-34,196518,7.742562396687382e-4,MO
US,28,Female,35-44,195862,7.71671682054562e-4,MO
US,28,Female,45-54,185182,7.295938233359605e-4,MO
US,28,Female,55-64,201419,7.93565564161235e-4,MO
US,28,Female,65+,268754,0.0010588570076834288,MO
US,28,Male,18-24,156232,6.155344591127852e-4,MO
US,28,Male,25-34,182509,7.190625390330745e-4,MO
US,28,Male,35-44,184834,7.282227470406352e-4,MO
US,28,Male,45-54,174482,6.874371671291219e-4,MO
US,28,Male,55-64,182054,7.17269896175681e-4,MO
US,28,Male,65+,205669,8.103100304116148e-4,MO
US,29,Female,18-24,277478,0.0010932284720524437,MS
US,29,Female,25-34,409462,0.0016132288564265913,MS
US,29,Female,35-44,370390,0.001459290083406629,MS
US,29,Female,45-54,383922,0.0015126044639478383,MS
US,29,Female,55-64,431129,0.0016985941153082335,MS
US,29,Female,65+,578254,0.0022782481381522636,MS
US,29,Male,18-24,288461,0.001136500112717837,MS
US,29,Male,25-34,409670,0.001614048350304257,MS
US,29,Male,35-44,371953,0.001465448107112357,MS
US,29,Male,45-54,369432,0.0014555156837200729,MS
US,29,Male,55-64,401755,0.001582864244334432,MS
US,29,Male,65+,456820,0.0017998134288231763,MS
US,30,Female,18-24,44380,1.7485162639808364e-4,MT
US,30,Female,25-34,66865,2.6343970254862244e-4,MT
US,30,Female,35-44,62562,2.4648642295441436e-4,MT
US,30,Female,45-54,60486,2.383072436754053e-4,MT
US,30,Female,55-64,77450,3.0514327319809773e-4,MT
US,30,Female,65+,104046,4.099281730557686e-4,MT
US,30,Male,18-24,52199,2.056575044243706e-4,MT
US,30,Male,25-34,67111,2.6440891165393853e-4,MT
US,30,Male,35-44,66101,2.604296384979659e-4,MT
US,30,Male,45-54,60604,2.3877214885600407e-4,MT
US,30,Male,55-64,74343,2.9290208340046714e-4,MT
US,30,Male,65+,96193,3.7898833929947857e-4,MT
US,31,Female,18-24,93108,3.668338267389088e-4,NE
US,31,Female,25-34,125665,4.951043179656418e-4,NE
US,31,Female,35-44,120092,4.73147397868379e-4,NE
US,31,Female,45-54,107276,4.226539674060573e-4,NE
US,31,Female,55-64,123233,4.8552254339601265e-4,NE
US,31,Female,65+,167153,6.585618275646434e-4,NE
US,31,Male,18-24,94834,3.736340499737689e-4,NE
US,31,Male,25-34,131090,5.1647813664995e-4,NE
US,31,Male,35-44,124804,4.917120860970354e-4,NE
US,31,Male,45-54,111540,4.39453591898203e-4,NE
US,31,Male,55-64,118742,4.6782856741237603e-4,NE
US,31,Male,65+,136845,5.391521138901703e-4,NE
US,32,Female,18-24,121941,4.804322256558972e-4,NC
US,32,Female,25-34,215330,8.48373157104537e-4,NC
US,32,Female,35-44,200182,7.886919395137715e-4,NC
US,32,Female,45-54,196108,7.72640891159878e-4,NC
US,32,Female,55-64,191337,7.538437503409222e-4,NC
US,32,Female,65+,251204,9.8971221175539e-4,NC
US,32,Male,18-24,126657,4.99012673382201e-4,NC
US,32,Male,25-34,227383,8.95860463390614e-4,NC
US,32,Male,35-44,204946,8.074615012118443e-4,NC
US,32,Male,45-54,200059,7.882073349611135e-4,NC
US,32,Male,55-64,186109,7.332460869157491e-4,NC
US,32,Male,65+,223916,8.82200918804716e-4,NC
US,33,Female,18-24,62784,2.4736107507384594e-4,NH
US,33,Female,25-34,80781,3.1826699486398367e-4,NH
US,33,Female,35-44,77569,3.056121182531084e-4,NH
US,33,Female,45-54,95639,3.768056488753114e-4,NH
US,33,Female,55-64,108953,4.292611367947365e-4,NH
US,33,Female,65+,133054,5.242160499948315e-4,NH
US,33,Male,18-24,64798,2.5529598213932007e-4,NH
US,33,Male,25-34,87041,3.429306086821901e-4,NH
US,33,Male,35-44,77396,3.0493051997985764e-4,NH
US,33,Male,45-54,94079,3.706594447928191e-4,NH
US,33,Male,55-64,104134,4.102748820040118e-4,NH
US,33,Male,65+,112102,4.4166780131766497e-4,NH
US,34,Female,18-24,376624,0.0014838512604901273,ND
US,34,Female,25-34,565774,0.002229078505492325,ND
US,34,Female,35-44,575977,0.002269277044116472,ND
US,34,Female,45-54,632520,0.0024920493629859365,ND
US,34,Female,55-64,631209,0.002486884187631996,ND
US,34,Female,65+,817766,0.003221895338284256,ND
US,34,Male,18-24,391648,0.001543043933653823,ND
US,34,Male,25-34,585319,0.0023060833508720124,ND
US,34,Male,35-44,571614,0.0022520873720575526,ND
US,34,Male,45-54,601079,0.0023681757716028326,ND
US,34,Male,55-64,587462,0.0023145265017366157,ND
US,34,Male,65+,620523,0.0024447826896669233,ND
US,35,Female,18-24,96230,3.7913411465271716e-4,NJ
US,35,Female,25-34,133422,5.256659237783938e-4,NJ
US,35,Female,35-44,127339,5.016996677310855e-4,NJ
US,35,Female,45-54,122498,4.8262673570329993e-4,NJ
US,35,Female,55-64,142246,5.604313755885941e-4,NJ
US,35,Female,65+,200155,7.885855629046515e-4,NJ
US,35,Male,18-24,102480,4.0375832972680515e-4,NJ
US,35,Male,25-34,145731,5.741618379139055e-4,NJ
US,35,Male,35-44,128922,5.079364889250505e-4,NJ
US,35,Male,45-54,117430,4.626594521840235e-4,NJ
US,35,Male,55-64,130413,5.138108416731249e-4,NJ
US,35,Male,65+,168325,6.631793603753364e-4,NJ
US,36,Female,18-24,900696,0.0035486291232593135,NM
US,36,Female,25-34,1431380,0.005639457435639679,NM
US,36,Female,35-44,1234968,0.004865618822658598,NM
US,36,Female,45-54,1314850,0.005180343870426324,NM
US,36,Female,55-64,1353135,0.005331181962284158,NM
US,36,Female,65+,1830958,0.007213744573379505,NM
US,36,Male,18-24,904485,0.003563557307405829,NM
US,36,Male,25-34,1441518,0.005679399882427056,NM
US,36,Male,35-44,1198857,0.004723346017772135,NM
US,36,Male,45-54,1242488,0.00489524667823574,NM
US,36,Male,55-64,1243082,0.004897586963636381,NM
US,36,Male,65+,1381107,0.00544138812933254,NM
US,37,Female,18-24,476267,0.0018764321665105026,NV
US,37,Female,25-34,696048,0.002742341704622202,NV
US,37,Female,35-44,672574,0.0026498570926783396,NV
US,37,Female,45-54,708020,0.002789509881080919,NV
US,37,Female,55-64,707974,0.0027893286468579736,NV
US,37,Female,65+,950712,0.003745685881842607,NV
US,37,Male,18-24,508351,0.0020028390971404287,NV
US,37,Male,25-34,686262,0.002703786093627798,NV
US,37,Male,35-44,637830,0.0025129700961128818,NV
US,37,Male,45-54,670067,0.002639979827527821,NV
US,37,Male,55-64,634795,0.0025010125772729048,NV
US,37,Male,65+,737862,0.002907083613279468,NV
US,38,Female,18-24,39594,1.5599538746295007e-4,NY
US,38,Female,25-34,53076,2.0911277428356664e-4,NY
US,38,Female,35-44,42822,1.68713302064415e-4,NY
US,38,Female,45-54,40695,1.6033318919040138e-4,NY
US,38,Female,55-64,46585,1.8353904947622187e-4,NY
US,38,Female,65+,62667,2.4690010976765903e-4,NY
US,38,Male,18-24,44990,1.7725494978931461e-4,NY
